Date,Ticker,Type,ret_z,volz,range_pct,Why,Mkt_flag,Severity,Return
2018-05-01,AAPL,detected,1.2763413846723122,2.122560949864992,63.49206349206349,ML flagged,0,79.00976584487222,0.0232360148734045
2018-05-01,MSFT,detected,0.7191190807615963,0.0782214544979901,63.49206349206349,ML flagged,0,58.79699988742541,0.0158255288316866
2018-05-01,AMZN,detected,0.3696061132988821,-0.5503057731282024,38.095238095238095,ML flagged,0,34.72855454238433,0.0102992758152407
2018-05-01,NVDA,detected,0.3646148230474053,-2.362888485855276,20.634920634920636,ML flagged,0,18.536108296746598,0.009960046299493
2018-05-02,AAPL,volume_shock,2.371474175412899,2.6398005455141145,58.730158730158735,volz=2.6,1,83.67246425757064,0.0441752278562601
2018-05-02,MSFT,detected,-0.7543924009644832,-0.3801319332609665,46.03174603174603,ML flagged,1,47.79072385455364,-0.0156840699113033
2018-05-02,AMZN,detected,-0.4256957045612004,-0.603076197418057,22.22222222222222,ML flagged,1,29.969464144996056,-0.0079506250407926
2018-05-03,NVDA,detected,1.0114652538781177,-0.1048225979366545,58.730158730158735,ML flagged,0,59.29303163345717,0.0295171604349939
2018-05-03,MSFT,detected,0.2751620940449793,0.1978714946375334,63.49206349206349,ML flagged,0,50.46366655409208,0.0059885454504187
2018-05-03,AAPL,detected,0.0374889393762286,0.1597317880421601,41.26984126984127,ML flagged,0,34.58994708994709,0.0018122157330437
2018-05-03,AMZN,detected,0.0008926938984068,-0.6018269131593105,33.33333333333333,ML flagged,0,20.90721040189125,0.0015289117919772
2018-05-04,AAPL,detected,1.9817115379470327,1.6703436831220508,82.53968253968253,ML flagged,0,88.5504615557807,0.0392334235658009
2018-05-04,NVDA,detected,0.8655859879669072,-0.3692095632204381,52.38095238095239,ML flagged,0,51.90180682201959,0.0260525129937536
2018-05-04,MSFT,detected,0.5246520585417092,-1.143951478108762,61.90476190476191,ML flagged,0,40.22711921648092,0.0115871649145629
2018-05-04,AMZN,detected,0.15523440956899,-1.134700043025482,23.809523809523807,ML flagged,0,16.846082404593044,0.005642203555249
2018-05-07,NVDA,detected,1.3096162029785583,1.7143454905798898,49.2063492063492,ML flagged,0,73.62729370708094,0.040240953141118
2018-05-07,AAPL,detected,0.2548221237529167,0.6819139700596619,34.92063492063492,ML flagged,0,44.88489249127547,0.0072350056563099
