Date,market_ret,breadth,market_anomaly_flag
2018-06-27,-0.015250041835067452,0.0,1
2018-06-28,0.016227937836478246,1.0,0
2018-06-29,-0.004929003407478788,0.0,1
2018-07-02,0.014036357809297462,1.0,0
2018-07-03,-0.015218060247838422,0.0,1
2018-07-05,0.010872560335619008,1.0,0
2018-07-06,0.013314902248857785,1.0,0
2018-07-09,0.011266278159932253,1.0,0
2018-07-10,0.0049552978842574424,0.75,0
2018-07-11,-0.007522303536111524,0.25,1
2018-07-12,0.01927493325985452,1.0,0
2018-07-13,0.003750732363788589,0.75,0
2018-07-16,-0.0016004309772310876,0.25,1
2018-07-17,0.011656318446373437,1.0,0
2018-07-18,-0.005427635001835435,0.0,1
2018-07-19,-0.0035040408191600037,0.5,0
2018-07-20,0.0028745118084556875,0.5,0
2018-07-23,0.001133758019081027,0.5,0
2018-07-24,0.004173301549690145,0.5,0
2018-07-25,0.01759233165844737,1.0,0
2018-07-26,-0.008024221084584365,0.25,1
2018-07-27,-0.010066854062750596,0.25,1
2018-07-30,-0.01982506086236316,0.0,1
2018-07-31,0.0026821685862498668,0.75,0
2018-08-01,0.01961777547920629,1.0,1
2018-08-02,0.01972076713437715,1.0,1
2018-08-03,0.0017873122158569843,0.75,0
2018-08-06,0.00677412030267166,1.0,0
2018-08-07,0.00425696784698168,0.75,0
2018-08-08,0.0062267926457447165,1.0,0
2018-08-09,0.0020712724852113007,0.75,0
2018-08-10,-0.0055090865811757705,0.0,1
2018-08-13,0.002419369034565383,0.75,0
2018-08-14,0.012447130633196413,1.0,0
2018-08-15,-0.009875864345666896,0.25,1
2018-08-16,0.002551374850976923,0.5,0
2018-08-17,-0.007971955343134662,0.25,1
2018-08-20,-0.0017337439927319342,0.25,1
2018-08-21,0.0038522870623012295,0.5,0
2018-08-22,0.014785947339067795,1.0,0
2018-08-23,0.0052405083386558304,0.75,0
2018-08-24,0.008097309142080344,1.0,0
2018-08-27,0.011130425873117744,1.0,0
2018-08-28,0.0028136489579898283,0.75,0
2018-08-29,0.02005016430066975,1.0,1
2018-08-30,0.0020672424816599866,0.5,0
2018-08-31,0.007609533157529824,1.0,0
2018-09-04,0.005440612299921765,0.75,0
2018-09-05,-0.018968149459532957,0.0,1
2018-09-06,-0.013272059790965018,0.25,1
2018-09-07,-0.004820505697401778,0.0,1
2018-09-10,0.00031455555778314714,0.5,0
2018-09-11,0.015022405111067338,0.75,0
2018-09-12,-0.00590543648319089,0.5,0
2018-09-13,0.011634944388911439,0.75,0
2018-09-14,0.0003978676992358321,0.5,0
2018-09-17,-0.01951743102440509,0.0,1
2018-09-18,0.004469150696504082,0.75,0
2018-09-19,-0.004184352225476279,0.5,0
2018-09-20,0.0031668117783510696,0.75,0
2018-09-21,-0.007597009439913899,0.25,1
2018-09-24,0.009153327713241566,1.0,0
2018-09-25,0.00884962397449457,0.75,0
2018-09-26,-0.004367943076069247,0.25,1
2018-09-27,0.011357548050186295,1.0,0
2018-09-28,0.01228484218051068,0.5,0
2018-10-01,0.011983020703896285,1.0,0
2018-10-02,-0.0053831045693536195,0.25,1
2018-10-03,0.0009511498179011757,0.75,0
2018-10-04,-0.02159691518207632,0.0,1
2018-10-05,-0.016549681072592914,0.0,1
2018-10-08,-0.010560326948963611,0.0,1
2018-10-09,0.00721816343043849,0.75,0
2018-10-10,-0.059235485658099496,0.0,1
2018-10-11,-0.018652756560181116,0.0,1
2018-10-12,0.039769960431736806,1.0,1
2018-10-15,-0.025024084277872394,0.0,1
2018-10-16,0.032885636099494686,1.0,1
2018-10-17,-0.0029337153276356442,0.25,1
2018-10-18,-0.022791530280973082,0.0,1
2018-10-19,-0.007581186795457356,0.5,0
2018-10-22,0.00957684620660404,1.0,0
2018-10-23,-0.014995754187747484,0.25,1
2018-10-24,-0.06119768348906621,0.0,1
2018-10-25,0.048375885089769255,1.0,1
2018-10-26,-0.03811054013586443,0.0,1
2018-10-29,-0.043751623786841,0.0,1
2018-10-30,0.02299338071489379,0.5,0
2018-10-31,0.03462371861911656,1.0,0
2018-11-01,0.020950595379258474,0.75,0
2018-11-02,-0.019672606527310982,0.25,1
2018-11-05,-0.013245411530973056,0.25,1
2018-11-06,0.004658951241178405,0.75,0
2018-11-07,0.03780344955736725,1.0,0
2018-11-08,-0.01054483480866747,0.0,1
2018-11-09,-0.01613733342728199,0.0,1
2018-11-12,-0.04939461413449628,0.0,1
2018-11-13,0.009684834329618724,0.5,0
2018-11-14,-0.01819523316383212,0.0,1
2018-11-15,0.02145800264190345,1.0,0
2018-11-16,-0.04578544971227627,0.5,0
2018-11-19,-0.06110560489946651,0.0,1
2018-11-20,-0.014113015380801869,0.25,1
2018-11-21,-0.0006138777218116231,0.5,0
2018-11-23,-0.00836371068736963,0.25,1
2018-11-26,0.03870058710814411,1.0,0
2018-11-27,0.002154181293727575,0.75,0
2018-11-28,0.04443880928764271,1.0,0
2018-11-29,-0.008622410822342524,0.0,1
2018-11-30,0.012360827901650162,0.75,0
2018-12-03,0.033709392147877604,1.0,0
2018-12-04,-0.05263385979486418,0.0,1
2018-12-06,0.005247499936084643,0.75,0
2018-12-07,-0.0460953419301586,0.0,1
2018-12-10,0.01727761726652699,1.0,0
