Date,ticker,anomaly_flag,anomaly_type,ret,ret_z,volz,range_pct,why
2018-01-03,NVDA,1,spike,0.06581384506124954,3.3725281970344945,1.6739440255351248,95.23809523809523,|ret_z|=3.4>2.5; range_pct=95.2>95
2018-01-08,NVDA,1,,0.030640726563412102,1.3422039740353513,2.214233488667977,76.19047619047619,ML detector flagged
2018-01-12,AMZN,1,,0.02233911102318742,0.9489617421988985,2.4995437023189826,88.88888888888889,ML detector flagged
2018-01-16,AMZN,1,volume_shock,-0.0002604702980621987,-0.2409951193944798,2.985663472807418,95.23809523809523,volz=3.0>2.5; range_pct=95.2>95
2018-01-16,MSFT,1,,-0.013950888725371091,-1.3752573396981747,1.7479720652008701,98.4126984126984,range_pct=98.4>95
2018-01-16,NVDA,1,,-0.012870999732753075,-0.7531296714136271,1.2651184784482234,95.23809523809523,range_pct=95.2>95
2018-01-19,MSFT,1,,-0.0011099790915807262,-0.2942342278617465,2.0115173406519684,44.44444444444444,ML detector flagged
2018-01-24,AAPL,1,volume_shock,-0.015928603172458478,-1.6552797396575396,3.2274875379404113,92.06349206349206,volz=3.2>2.5
2018-01-24,AMZN,1,,-0.0036916561368250944,-0.4642154639589918,1.8003541609100493,95.23809523809523,range_pct=95.2>95
2018-01-31,MSFT,1,volume_shock,0.02447704485056712,2.2555078272270754,2.866057508367774,87.3015873015873,volz=2.9>2.5
2018-02-01,AMZN,1,crash,-0.04196735385431105,-4.260392240845523,2.4238346004888713,100.0,|ret_z|=4.3>2.5; range_pct=100.0>95
2018-02-01,MSFT,1,,-0.0078938369003273,-0.9547367899966704,2.2314881581730632,96.82539682539682,range_pct=96.8>95
2018-02-02,AAPL,1,crash + volume_shock,-0.04338998020731133,-4.202756161251334,3.377847603183607,100.0,|ret_z|=4.2>2.5; volz=3.4>2.5; range_pct=100.0>95
2018-02-02,AMZN,1,volume_shock,0.02874097206609716,2.0379087458522425,2.7334230229091636,100.0,volz=2.7>2.5; range_pct=100.0>95
2018-02-02,MSFT,1,crash,-0.02631031025831032,-2.715283259354814,1.9519563953523302,96.82539682539682,|ret_z|=2.7>2.5; range_pct=96.8>95
2018-02-05,AAPL,1,,-0.02498454401835104,-2.1150807907948472,2.1239048166090555,100.0,range_pct=100.0>95
2018-02-05,AMZN,1,crash,-0.027938006598856924,-2.539135763253798,2.3620084867996898,100.0,|ret_z|=2.5>2.5; range_pct=100.0>95
2018-02-05,MSFT,1,crash,-0.041185298389817104,-3.8762067636912487,1.9111191956438491,100.0,|ret_z|=3.9>2.5; range_pct=100.0>95
2018-02-05,NVDA,1,crash + volume_shock,-0.08487502670650826,-4.040603236841515,3.7012844679715835,100.0,|ret_z|=4.0>2.5; volz=3.7>2.5; range_pct=100.0>95
2018-02-06,AAPL,1,spike,0.041791579816532254,3.5857799843037768,1.6822050331849856,100.0,|ret_z|=3.6>2.5; range_pct=100.0>95
2018-02-06,AMZN,1,spike,0.03801436389950541,2.5860074109505757,1.9373802174466404,98.4126984126984,|ret_z|=2.6>2.5; range_pct=98.4>95
2018-02-06,MSFT,1,spike + volume_shock,0.03784068888421399,3.0158453559764737,2.543123299395535,100.0,|ret_z|=3.0>2.5; volz=2.5>2.5; range_pct=100.0>95
2018-02-06,NVDA,1,volume_shock,0.0555919814296133,2.2651777486062667,2.5975035977787018,98.4126984126984,volz=2.6>2.5; range_pct=98.4>95
2018-02-08,AAPL,1,,-0.027516452248477208,-2.0452836971580246,0.8849957260882855,95.23809523809523,range_pct=95.2>95
2018-02-08,AMZN,1,crash,-0.046782159492866904,-3.5960930230400368,1.0124858172086604,96.82539682539682,|ret_z|=3.6>2.5; range_pct=96.8>95
2018-02-08,MSFT,1,crash,-0.051333397612855935,-3.927484446992553,1.511745900176853,98.4126984126984,|ret_z|=3.9>2.5; range_pct=98.4>95
2018-02-09,AAPL,1,,0.012231431617522937,1.0557429766528879,1.473982335033738,96.82539682539682,range_pct=96.8>95
2018-02-09,AMZN,1,,-0.008071102861208823,-0.7196853480192,2.178912532925136,98.4126984126984,range_pct=98.4>95
2018-02-09,MSFT,1,,0.03728959055949854,2.481704146096141,1.7280730095404258,95.23809523809523,range_pct=95.2>95
2018-02-09,NVDA,1,spike + volume_shock,0.06693632548487827,2.5561347027874723,3.067505959415698,95.23809523809523,|ret_z|=2.6>2.5; volz=3.1>2.5; range_pct=95.2>95
2018-02-12,AAPL,1,spike,0.040278771683591064,3.154983121721021,0.9554616561522142,93.65079365079364,|ret_z|=3.2>2.5
2018-03-16,MSFT,1,volume_shock,0.004459499094478625,0.1756624703231074,3.5566468576549246,41.269841269841265,volz=3.6>2.5
2018-03-20,AAPL,1,,-0.0003422577282161665,-0.052848956417299454,-2.7339480473868107,26.984126984126984,ML detector flagged
2018-03-23,AMZN,1,volume_shock,-0.03194986403665934,-2.2236847573807017,2.6733587266069043,85.71428571428571,volz=2.7>2.5
2018-03-26,AAPL,1,spike,0.04747210559577941,3.090001328193999,0.5990094457428518,90.47619047619048,|ret_z|=3.1>2.5
2018-03-26,MSFT,1,spike + volume_shock,0.07570530720527047,4.597662661313098,2.8440473696864412,92.06349206349206,|ret_z|=4.6>2.5; volz=2.8>2.5
2018-03-27,AAPL,1,,-0.025641270202022226,-1.5332534425978717,0.9459525916623455,95.23809523809523,range_pct=95.2>95
2018-03-27,AMZN,1,,-0.03779899031862355,-2.4298223973818134,1.4881257865005486,95.23809523809523,range_pct=95.2>95
2018-03-27,MSFT,1,crash,-0.04595862366793391,-2.522628422094814,2.313224781880845,100.0,|ret_z|=2.5>2.5; range_pct=100.0>95
2018-03-27,NVDA,1,crash + volume_shock,-0.07755232779251242,-3.0669524145625338,3.5943270106656215,100.0,|ret_z|=3.1>2.5; volz=3.6>2.5; range_pct=100.0>95
2018-03-28,AMZN,1,crash + volume_shock,-0.04383955294893915,-2.6318209773032044,4.551160034983215,88.88888888888889,|ret_z|=2.6>2.5; volz=4.6>2.5
2018-03-29,AMZN,1,volume_shock,0.011121768164654933,0.40783230200145104,2.784372789799189,93.65079365079364,volz=2.8>2.5
2018-04-02,AMZN,1,crash,-0.05206100665038371,-2.8867593561301526,1.723147444378971,85.71428571428571,|ret_z|=2.9>2.5
2018-04-10,NVDA,1,,0.05802883610881526,2.0033640054944617,0.5498961078335083,41.269841269841265,ML detector flagged
2018-04-19,AAPL,1,,-0.028340094548169326,-1.6456172033363983,0.5250334019483929,44.44444444444444,ML detector flagged
2018-04-20,AAPL,1,volume_shock,-0.04097225539718563,-2.3008741438681035,3.139355696088453,84.12698412698413,volz=3.1>2.5
2018-04-27,AMZN,1,,0.036008877431740194,1.5157895769162695,1.76527111488308,82.53968253968253,ML detector flagged
2018-05-01,AAPL,1,,0.023236014873404542,1.2763413846723064,2.122560949865949,63.49206349206349,ML detector flagged
2018-05-02,AAPL,1,volume_shock,0.04417522785626016,2.3714741754128883,2.6398005455151043,58.730158730158735,volz=2.6>2.5
