Date,Open,High,Low,Close,Adj Close,Volume,ticker,ret,log_volume,intraday_range,ret_mean,ret_std,ret_z,vol_mean,vol_std,volz,range_pct,sufficient_history,kmeans_anomaly,kmeans_distance,kmeans_cluster,dbscan_anomaly,dbscan_cluster,rule_anomaly,anomaly_type,consensus_anomaly,severity,market_ret,breadth,market_anomaly,flag_rate
2018-01-02,170.16000366210938,172.3000030517578,169.25999450683594,172.25999450683594,166.80401611328125,25555900.0,AAPL,0.017904565103547876,17.056378806851196,0.017647791953234016,0.0016035819665041425,0.011142044560188556,1.4630141190735537,17.085828185798697,0.27353694025903885,-0.10766142899382353,79.36507936507937,True,0,1.0060476860396013,3,0,0,0,,0,69.3501127764076,0.017409608098131024,1.0,1,0.0
2018-01-02,1172.0,1190.0,1170.510009765625,1189.010009765625,1189.010009765625,2694500.0,AMZN,0.01670845729433479,14.806723587481988,0.016391779778386243,0.003282994955508314,0.01902428497428087,0.7057009133309007,14.842979329188019,0.3447294416335366,-0.10517158175557352,74.60317460317461,True,0,0.7363425614715053,2,0,0,0,,0,58.898269356436685,0.017409608098131024,1.0,1,0.0
2018-01-02,86.12999725341797,86.30999755859375,85.5,85.94999694824219,83.02959442138672,22483800.0,MSFT,0.004792841695054451,16.92830565232663,0.009424055699286627,0.002346539819708565,0.011922781862447197,0.20517861114819236,16.910713386338983,0.39338175275469783,0.044720593716538054,41.269841269841265,True,0,0.5498436429889524,2,0,0,0,,0,37.096587196188786,0.017409608098131024,1.0,1,0.0
2018-01-02,195.77999877929688,199.5,194.5,199.3500061035156,197.9035797119141,8890400.0,NVDA,0.03023256829958698,16.000482713334446,0.025081514155578567,0.00144066182002263,0.018600938759472767,1.5478730064724096,16.286514019514442,0.4326267629708962,-0.6611502663503407,65.07936507936508,True,0,1.202998356789286,2,0,0,0,,0,58.41290920972196,0.017409608098131024,1.0,1,0.0
2018-01-03,172.52999877929688,174.5500030517578,171.9600067138672,172.22999572753906,166.77496337890625,29517900.0,AAPL,-0.00017417287096532785,17.20050745083247,0.015038009650699262,0.0019197067251403778,0.011318952529371484,-0.18498864985835178,17.06271007106431,0.25279722378656166,0.5450905364118909,69.84126984126983,True,0,0.8123323422369283,2,0,0,0,,0,51.40127321402222,0.020767174740783184,0.75,1,0.25
2018-01-03,1188.300048828125,1205.489990234375,1188.300048828125,1204.199951171875,1204.199951171875,3108800.0,AMZN,0.012775284717110313,14.949747679272786,0.014274989290210066,0.0035838722538725333,0.019085213421206202,0.48159836855904486,14.818459950786146,0.32682947108024235,0.4017009972683794,60.317460317460316,True,0,0.5281016462915172,2,0,0,0,,0,55.0659794683699,0.020767174740783184,0.75,1,0.25
2018-01-03,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,83.4159927368164,26061400.0,MSFT,0.004653742055738208,17.075965888768497,0.00625362970549653,0.002397048143552083,0.011926354309759444,0.18921893156822767,16.892362639883782,0.3824818103759614,0.48003130895016655,12.698412698412698,True,0,1.1265086540426157,0,0,0,0,,0,31.955247791901176,0.020767174740783184,0.75,1,0.25
2018-01-03,204.1000061035156,213.6999969482422,203.75,212.47000122070312,210.92837524414065,22867600.0,NVDA,0.06581384506124954,16.945231663251562,0.046830126093455576,0.0019001242022281851,0.018951268425254228,3.3725281970344945,16.24651223970772,0.41740906275586853,1.6739440255351248,95.23809523809523,True,0,1.5702894646306356,3,1,-1,1,spike,1,94.16303041801051,0.020767174740783184,0.75,1,0.25
2018-01-04,172.5399932861328,173.47000122070312,172.0800018310547,173.02999877929688,167.54962158203125,22434600.0,AAPL,0.004644931034192501,16.926115012522683,0.00803328555426628,0.001847797357464345,0.01131761474603739,0.2471484732436909,17.048526884955614,0.2348517065204501,-0.5212304778801633,25.396825396825395,True,0,0.3982033781435102,0,0,0,0,,0,26.327494255781108,0.005798471555239049,1.0,0,0.0
2018-01-04,1205.0,1215.8699951171875,1204.6600341796875,1209.5899658203125,1209.5899658203125,3022100.0,AMZN,0.004476013010291435,14.921462842831449,0.009267571039990975,0.003821241055590551,0.019105367975226637,0.034271604338312875,14.805198983856465,0.31480023595643186,0.3693258200029311,17.46031746031746,True,0,1.0113996515478823,0,0,0,0,,0,28.031261198591874,0.005798471555239049,1.0,0,0.0
